id,timestamp,metric_name,metric_value,baseline_window,current_window,drift_detected,model_version
1,2026-06-04T18:54:21.979415,prediction_entropy,0.1138,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.0
2,2026-06-04T11:54:21.979415,class_distribution_psi,0.6891,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.1
3,2026-06-04T03:54:21.979415,class_distribution_psi,0.644,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.1
4,2026-06-04T10:54:21.979415,confidence_mean,0.657,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.0
5,2026-06-03T00:54:21.979415,confidence_std,0.892,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.2
6,2026-06-04T18:54:21.979415,class_distribution_psi,0.7118,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.0
7,2026-06-03T08:54:21.979415,confidence_mean,0.2876,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.2
8,2026-06-04T12:54:21.979415,prediction_entropy,0.6355,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.2
9,2026-06-02T21:54:21.979415,class_distribution_psi,0.0689,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.2
10,2026-06-04T08:54:21.979415,severe_rate,0.4302,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.2
11,2026-06-04T07:54:21.979415,severe_rate,0.1606,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.2
12,2026-06-04T12:54:21.979415,confidence_mean,0.0527,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.1
13,2026-06-03T16:54:21.979415,confidence_std,0.6209,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.2
14,2026-06-03T01:54:21.979415,confidence_std,0.6265,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.2
15,2026-06-04T10:54:21.979415,confidence_std,0.8931,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.0
16,2026-06-03T13:54:21.979415,severe_rate,0.683,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.0
17,2026-06-04T14:54:21.979415,class_distribution_psi,0.5467,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.1
18,2026-06-04T20:54:21.979415,class_distribution_psi,0.417,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.1
19,2026-06-04T18:54:21.979415,confidence_mean,0.4453,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.2
20,2026-06-03T09:54:21.979415,class_distribution_psi,0.4297,2024-01-01/2024-01-07,2024-01-08/2024-01-14,False,v1.1
21,2026-06-04T06:54:21.979415,severe_rate,0.7451,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.2
22,2026-06-03T19:54:21.979415,confidence_std,0.8962,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.1
23,2026-06-04T11:54:21.979415,confidence_mean,0.6915,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.1
24,2026-06-04T13:54:21.979415,prediction_entropy,0.7982,2024-01-01/2024-01-07,2024-01-08/2024-01-14,True,v1.1
